# Results from matrix projection
PCs	Nnz	Obj	dortho	Time	VE	AVE	PVE	Iter
1	130	19965	0.000	1.514	19965	19965	0.033	192
2	275	28504	0.001	2.117	28503	8538	0.047	241
3	389	35016	0.002	2.707	35014	6512	0.058	251
4	511	44622	0.000	2.176	44626	9612	0.074	192
5	673	49762	0.001	2.778	49763	5136	0.083	202
6	851	55857	0.001	2.959	55858	6095	0.093	202
7	1034	60926	0.001	3.629	60922	5065	0.101	202
8	1206	64754	0.001	3.358	64754	3831	0.108	202
9	1347	69238	0.002	4.184	69239	4485	0.115	221
10	1518	73053	0.001	3.964	73051	3812	0.122	202
11	1713	76202	0.002	6.877	76201	3150	0.127	301
12	1876	80861	0.001	4.282	80861	4661	0.135	202
13	2036	83401	0.001	4.875	83402	2541	0.139	202
14	2439	89303	0.001	5.560	89304	5902	0.149	221
15	2612	89821	0.001	5.753	89822	518	0.149	211
16	2788	92669	0.002	5.170	92669	2848	0.154	221
17	2953	94659	0.002	5.592	94660	1991	0.158	221
18	3168	96919	0.001	5.957	96922	2261	0.161	211
19	3390	99171	0.001	6.357	99173	2251	0.165	211
20	3575	101316	0.002	6.335	101318	2146	0.169	212
21	3723	103131	0.002	7.164	103135	1817	0.172	212
22	3871	104668	0.001	7.692	104670	1535	0.174	221
23	4067	106570	0.002	8.515	106573	1902	0.177	221
24	4223	108242	0.002	8.657	108244	1671	0.180	222
25	4421	109887	0.001	8.917	109889	1645	0.183	211
# Results from columnwise projection
1	130	19965	0.000	1.481	19965	19965	0.033	192
2	133	25984	0.002	2.045	25982	6018	0.043	221
3	126	33115	0.002	2.489	33115	7132	0.055	221
4	122	42985	0.001	2.412	42986	9872	0.072	202
5	162	48008	0.001	2.842	48008	5022	0.080	202
6	178	51524	0.001	3.120	51524	3516	0.086	202
7	183	55926	0.002	3.699	55926	4402	0.093	211
8	172	61221	0.001	3.785	61223	5297	0.102	211
9	138	64343	0.001	4.089	64342	3118	0.107	202
10	174	68094	0.002	4.570	68094	3753	0.113	212
11	192	71112	0.002	4.838	71119	3025	0.118	202
12	165	74366	0.002	5.559	74367	3248	0.124	231
13	160	75804	0.002	5.935	75805	1438	0.126	221
14	402	78849	0.002	6.377	78848	3043	0.131	227
15	173	80452	0.002	6.607	80454	1606	0.134	213
16	173	83107	0.002	5.623	83109	2655	0.138	212
17	166	85056	0.001	6.733	85055	1946	0.142	241
18	217	87116	0.002	6.382	87118	2064	0.145	212
19	222	89161	0.001	6.886	89163	2045	0.148	211
20	185	90736	0.002	7.667	90734	1571	0.151	241
21	148	92650	0.002	7.720	92652	1918	0.154	226
22	148	94075	0.002	7.708	94078	1426	0.157	212
23	196	95506	0.001	9.161	95507	1429	0.159	241
24	156	97556	0.002	10.124	97557	2051	0.162	251
25	198	98549	0.002	11.307	98552	994	0.164	271
